vdw_corr,stacking,disregistry,d,energy
dft-d3,AB,0.0,3.72,-154.88831888483665
dft-d3,AB,0.0,3.73,-154.8882368425121
dft-d3,AB,0.0,3.74,-154.88815561652908
dft-d3,AB,0.0,3.75,-154.88808269001834
dft-d3,AB,0.0,3.76,-154.888010851963
dft-d3,AB,0.0,3.77,-154.88794772155072
dft-d3,AB,0.0,3.78,-154.88788547550845
dft-d3,AB,0.0,3.79,-154.88781646063424
dft-d3,AB,0.0,3.8,-154.88774030277162
dft-d3,AB,0.0,4.0,-154.88575791938928
dft-d3,AB,0.0,4.5,-154.8803485682446
dft-d3,AB,0.0,5.0,-154.87628345949923
dft-d3,AB,0.0,6.0,-154.87238675521027
dft-d3,AB,0.0,7.0,-154.87120652943173
dft-d3,SP,0.16667,3.0,-154.86996065618783
dft-d3,SP,0.16667,3.2,-154.88283752556555
dft-d3,SP,0.16667,3.21,-154.883232056628
dft-d3,SP,0.16667,3.22,-154.88360529478203
dft-d3,SP,0.16667,3.23,-154.88395809038335
dft-d3,SP,0.16667,3.24,-154.8842910897024
dft-d3,SP,0.16667,3.25,-154.88460374851147
dft-d3,SP,0.16667,3.26,-154.8848980056217
dft-d3,SP,0.16667,3.27,-154.8851772284419
dft-d3,SP,0.16667,3.28,-154.88544682523485
dft-d3,SP,0.16667,3.29,-154.88570373471967
dft-d3,SP,0.16667,3.3,-154.88595149437646
dft-d3,SP,0.16667,3.31,-154.88618772320902
dft-d3,SP,0.16667,3.32,-154.88640857760927
dft-d3,SP,0.16667,3.33,-154.88661347933532
dft-d3,SP,0.16667,3.34,-154.88680385698484
dft-d3,SP,0.16667,3.35,-154.88698011872856
dft-d3,SP,0.16667,3.36,-154.88714257069464
dft-d3,SP,0.16667,3.37,-154.88729165506803
dft-d3,SP,0.16667,3.38,-154.88742760994833
dft-d3,SP,0.16667,3.39,-154.88755584359828
dft-d3,SP,0.16667,3.4,-154.8876797914551
dft-d3,SP,0.16667,3.41,-154.88779588202468
dft-d3,SP,0.16667,3.42,-154.8879084351142
dft-d3,SP,0.16667,3.43,-154.88801255267452
dft-d3,SP,0.16667,3.44,-154.88810561560985
dft-d3,SP,0.16667,3.45,-154.88818806610522
dft-d3,SP,0.16667,3.46,-154.88826038035978
dft-d3,SP,0.16667,3.47,-154.8883227964732
dft-d3,SP,0.16667,3.48,-154.8883753484597
dft-d3,SP,0.16667,3.49,-154.8884182744189
dft-d3,SP,0.16667,3.5,-154.88845303696274
dft-d3,SP,0.16667,3.51,-154.88848558858157
dft-d3,SP,0.16667,3.52,-154.88851589526118
dft-d3,SP,0.16667,3.53,-154.88854314066
dft-d3,SP,0.16667,3.54,-154.88856960373153
dft-d3,SP,0.16667,3.55,-154.88858888980036
dft-d3,SP,0.16667,3.56,-154.88860140703727
dft-d3,SP,0.16667,3.57,-154.88860555677343
dft-d3,SP,0.16667,3.58,-154.88860246147843
dft-d3,SP,0.16667,3.59,-154.88859239326612
dft-d3,SP,0.16667,3.6,-154.88857518206538
dft-d3,SP,0.16667,3.61,-154.88855082787614
dft-d3,SP,0.16667,3.62,-154.8885224600077
dft-d3,SP,0.16667,3.63,-154.88849497650926
dft-d3,SP,0.16667,3.64,-154.88846603039892
dft-d3,SP,0.16667,3.65,-154.88843810471545
dft-d3,SP,0.16667,3.66,-154.88840963480433
dft-d3,SP,0.16667,3.67,-154.88837582465894
dft-d3,SP,0.16667,3.68,-154.88833568786666
dft-d3,SP,0.16667,3.69,-154.88829000675477
dft-d3,SP,0.16667,3.7,-154.8882389513944
dft-d3,SP,0.16667,3.71,-154.88818258981405
dft-d3,SP,0.16667,3.72,-154.88812054785717
dft-d3,SP,0.16667,3.73,-154.8880534377799
dft-d3,SP,0.16667,3.74,-154.88798500114763
dft-d3,SP,0.16667,3.75,-154.8879195917819
dft-d3,SP,0.16667,3.76,-154.88785350213155
dft-d3,SP,0.16667,3.77,-154.88779040573348
dft-d3,SP,0.16667,3.78,-154.88772707123584
dft-d3,SP,0.16667,3.79,-154.88765873664627
dft-d3,SP,0.16667,3.8,-154.88758557203593
dft-d3,SP,0.16667,4.0,-154.88570159182314
dft-d3,SP,0.16667,4.5,-154.88034281983963
dft-d3,SP,0.16667,5.0,-154.876292269185
dft-d3,SP,0.16667,6.0,-154.87240576916528
dft-d3,SP,0.16667,7.0,-154.8712208834371
dft-d3,Mid,0.5,3.0,-154.86377234514478
dft-d3,Mid,0.5,3.2,-154.87921211878106
dft-d3,Mid,0.5,3.21,-154.8797160396096
dft-d3,Mid,0.5,3.22,-154.88019387152318
dft-d3,Mid,0.5,3.23,-154.88064809756062
dft-d3,Mid,0.5,3.24,-154.88107922793537
dft-d3,Mid,0.5,3.25,-154.88148535785055
dft-d3,Mid,0.5,3.26,-154.88186890231648
dft-d3,Mid,0.5,3.27,-154.88223506551049
dft-d3,Mid,0.5,3.28,-154.88259405170183
dft-d3,Mid,0.5,3.29,-154.88293922811548
dft-d3,Mid,0.5,3.3,-154.88327763569723
dft-d3,Mid,0.5,3.31,-154.88360509069665
dft-d3,Mid,0.5,3.32,-154.88391295349916
dft-d3,Mid,0.5,3.33,-154.88419901317977
dft-d3,Mid,0.5,3.34,-154.88446731743193
dft-d3,Mid,0.5,3.35,-154.8847181723837
