stacking,disregistry,label,d,energy,energy_err,method
AA,0.66667,DFT-D2,3.61,-17.37608049134724,0,DFT-D2
AA,0.66667,DFT-D2,3.62,-17.317848128295736,0,DFT-D2
AA,0.66667,DFT-D2,3.63,-17.266180511796847,0,DFT-D2
AA,0.66667,DFT-D2,3.64,-17.2149890945293,0,DFT-D2
AA,0.66667,DFT-D2,3.65,-17.16920593995019,0,DFT-D2
AA,0.66667,DFT-D2,3.66,-17.12621195227257,0,DFT-D2
AA,0.66667,DFT-D2,3.67,-17.07621103306883,0,DFT-D2
AA,0.66667,DFT-D2,3.68,-17.01757049927255,0,DFT-D2
AA,0.66667,DFT-D2,3.69,-16.9514468346606,0,DFT-D2
AA,0.66667,DFT-D2,3.7,-16.878486309724394,0,DFT-D2
AA,0.66667,DFT-D2,3.71,-16.79848483900423,0,DFT-D2
AA,0.66667,DFT-D2,3.72,-16.71072812366765,0,DFT-D2
AA,0.66667,DFT-D2,3.73,-16.615828419860918,0,DFT-D2
AA,0.66667,DFT-D2,3.74,-16.52160900068702,0,DFT-D2
AA,0.66667,DFT-D2,3.75,-16.436267295735888,0,DFT-D2
AA,0.66667,DFT-D2,3.76,-16.352150103106396,0,DFT-D2
AA,0.66667,DFT-D2,3.77,-16.277080695843324,0,DFT-D2
AA,0.66667,DFT-D2,3.78,-16.203065729729133,0,DFT-D2
AA,0.66667,DFT-D2,3.79,-16.122656088205986,0,DFT-D2
AA,0.66667,DFT-D2,3.8,-16.035545643273508,0,DFT-D2
AA,0.66667,DFT-D2,4.0,-13.941527555609355,0,DFT-D2
AA,0.66667,DFT-D2,4.5,-9.02194731956115,0,DFT-D2
AA,0.66667,DFT-D2,5.0,-5.5363050092128105,0,DFT-D2
AA,0.66667,DFT-D2,6.0,-2.024981954629766,0,DFT-D2
AA,0.66667,DFT-D2,7.0,-0.8863895945250988,0,DFT-D2
