method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,5.15,-5.832422769366531,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.16,-5.777610918215942,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.17,-5.723358799004927,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.18,-5.66966108122142,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.19,-5.616512471518945,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.2,-5.563907714356901,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.21,-5.5118415925244335,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.22,-5.4603089273150545,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.23,-5.409304578992305,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.24,-5.3588234472845215,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.25,-5.308860471559456,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.26,-5.259410631028004,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.27,-5.210468945238972,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.28,-5.162030473991763,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.29,-5.114090317860246,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.3,-5.06664361822186,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.31,-5.019685557228513,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.32,-4.973211358330445,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.33,-4.927216285956092,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.34,-4.881695645919535,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.35,-4.836644785216777,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.36,-4.792059092287673,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.37,-4.747933997074142,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.38,-4.704264970700024,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.39,-4.661047525645699,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.4,-4.618277215951821,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.41,-4.5759496367536485,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.42,-4.534060424513882,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.43,-4.492605256848037,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.44,-4.4515798524953425,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.45,-4.410979971085908,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.46,-4.370801413169829,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.47,-4.331040019984357,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.48,-4.291691673541209,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.49,-4.2527522961609066,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.5,-4.214217850530986,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.51,-4.17608433944406,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.52,-4.138347805739613,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.53,-4.101004332100274,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.54,-4.064050040615257,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.55,-4.0274810930131935,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.56,-3.9912936901382636,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.57,-3.955484071804676,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.58,-3.9200485167093575,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.59,-3.884983341937186,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.6,-3.8502849031065125,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.61,-3.815949593874393,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.62,-3.781973845761968,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.63,-3.7483541279216297,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.64,-3.715086946816882,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.65,-3.6821688461641315,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.66,-3.6495964065252338,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.67,-3.6173662450746633,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.68,-3.585475015483098,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.69,-3.5539194072189275,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.7,-3.522696145926602,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.71,-3.4918019926699344,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.72,-3.461233743932098,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.73,-3.43098823109176,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.74,-3.401062320364872,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.75,-3.3714529125136323,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.76,-3.342156942555448,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.77,-3.313171379355481,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.78,-3.284493225510232,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.79,-3.2561195169982966,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.8,-3.228047323093051,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.81,-3.200273745576851,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.82,-3.1727959190611728,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.83,-3.145611010491848,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.84,-3.118716218683403,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.85,-3.092108774231747,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.86,-3.065785939252237,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.87,-3.039745007001329,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.88,-3.013983301643748,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.89,-2.988498178019654,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.9,-2.963287021382712,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.91,-2.9383472470217384,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.92,-2.9136763000278734,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.93,-2.889271655032644,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.94,-2.8651308160624467,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.95,-2.8412513160146773,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.96,-2.8176307166868355,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.97,-2.794266608194448,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.98,-2.7711566090001725,-154.5893676485416
KC-QMC,4.0,AB,0.0,5.99,-2.748298365389928,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.0,-2.7256895514728967,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.01,-2.7033278687740676,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.02,-2.6812110457976814,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.03,-2.6593368382018525,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.04,-2.6377030282164924,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.05,-2.6163074243813753,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.06,-2.595147861575242,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.07,-2.57422220040462,-154.5893676485416
KC-QMC,4.0,AB,0.0,6.08,-2.553528327232925,-154.5893676485416
