method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,inf,AB,0.0,5.95,-2.630695399857359,-154.5903787222419
KC-QMC,inf,AB,0.0,5.96,-2.6088156295882072,-154.5903787222419
KC-QMC,inf,AB,0.0,5.97,-2.587173699401319,-154.5903787222419
KC-QMC,inf,AB,0.0,5.98,-2.5657673929817975,-154.5903787222419
KC-QMC,inf,AB,0.0,5.99,-2.5445945200917777,-154.5903787222419
KC-QMC,inf,AB,0.0,6.0,-2.5236529165122192,-154.5903787222419
KC-QMC,inf,AB,0.0,6.01,-2.502940443751868,-154.5903787222419
KC-QMC,inf,AB,0.0,6.02,-2.482454988901736,-154.5903787222419
KC-QMC,inf,AB,0.0,6.03,-2.462194463907508,-154.5903787222419
KC-QMC,inf,AB,0.0,6.04,-2.4421568061225116,-154.5903787222419
KC-QMC,inf,AB,0.0,6.05,-2.4223399772890843,-154.5903787222419
KC-QMC,inf,AB,0.0,6.06,-2.4027419637714047,-154.5903787222419
KC-QMC,inf,AB,0.0,6.07,-2.3833607762644533,-154.5903787222419
KC-QMC,inf,AB,0.0,6.08,-2.3641944492119364,-154.5903787222419
KC-QMC,inf,AB,0.0,6.09,-2.345241041126428,-154.5903787222419
KC-QMC,inf,AB,0.0,6.1,-2.326498633949086,-154.5903787222419
KC-QMC,inf,AB,0.0,6.11,-2.3079653327877168,-154.5903787222419
KC-QMC,inf,AB,0.0,6.12,-2.289639266062295,-154.5903787222419
KC-QMC,inf,AB,0.0,6.13,-2.2715185849228874,-154.5903787222419
KC-QMC,inf,AB,0.0,6.14,-2.2536014631041326,-154.5903787222419
KC-QMC,inf,AB,0.0,6.15,-2.235886096896138,-154.5903787222419
KC-QMC,inf,AB,0.0,6.16,-2.218370704620611,-154.5903787222419
KC-QMC,inf,AB,0.0,6.17,-2.201053526659962,-154.5903787222419
KC-QMC,inf,AB,0.0,6.18,-2.1839328251080588,-154.5903787222419
KC-QMC,inf,AB,0.0,6.19,-2.1670068835956044,-154.5903787222419
KC-QMC,inf,AB,0.0,6.2,-2.1502740070864093,-154.5903787222419
KC-QMC,inf,AB,0.0,6.21,-2.1337325217027683,-154.5903787222419
KC-QMC,inf,AB,0.0,6.22,-2.1173807742598,-154.5903787222419
KC-QMC,inf,AB,0.0,6.23,-2.1012171326146927,-154.5903787222419
KC-QMC,inf,AB,0.0,6.24,-2.085239984851796,-154.5903787222419
KC-QMC,inf,AB,0.0,6.25,-2.069447739428142,-154.5903787222419
KC-QMC,inf,AB,0.0,6.26,-2.0538388249115087,-154.5903787222419
KC-QMC,inf,AB,0.0,6.27,-2.038411689689383,-154.5903787222419
KC-QMC,inf,AB,0.0,6.28,-2.023164801998064,-154.5903787222419
KC-QMC,inf,AB,0.0,6.29,-2.008096649486106,-154.5903787222419
KC-QMC,inf,AB,0.0,6.3,-1.9932057390687987,-154.5903787222419
KC-QMC,inf,AB,0.0,6.31,-1.9784905968699604,-154.5903787222419
KC-QMC,inf,AB,0.0,6.32,-1.9639497679600026,-154.5903787222419
KC-QMC,inf,AB,0.0,6.33,-1.9495818160648923,-154.5903787222419
KC-QMC,inf,AB,0.0,6.34,-1.9353853235952556,-154.5903787222419
