stacking,disregistry,label,d,energy,energy_err,method
Mid,0.5,DFT-D3,3.4,-16.091731378313852,0,DFT-D3
Mid,0.5,DFT-D3,3.41,-16.271972787071718,0,DFT-D3
Mid,0.5,DFT-D3,3.42,-16.45054749850533,0,DFT-D3
Mid,0.5,DFT-D3,3.43,-16.620618652261328,0,DFT-D3
Mid,0.5,DFT-D3,3.44,-16.775145302555757,0,DFT-D3
Mid,0.5,DFT-D3,3.45,-16.914943790936377,0,DFT-D3
Mid,0.5,DFT-D3,3.46,-17.041272643953562,0,DFT-D3
Mid,0.5,DFT-D3,3.47,-17.15447200386552,0,DFT-D3
Mid,0.5,DFT-D3,3.48,-17.254541870730463,0,DFT-D3
Mid,0.5,DFT-D3,3.49,-17.340835974173388,0,DFT-D3
Mid,0.5,DFT-D3,3.5,-17.41580333872116,0,DFT-D3
Mid,0.5,DFT-D3,3.51,-17.490872745984234,0,DFT-D3
Mid,0.5,DFT-D3,3.52,-17.565261868643574,0,DFT-D3
Mid,0.5,DFT-D3,3.53,-17.638018308236497,0,DFT-D3
Mid,0.5,DFT-D3,3.54,-17.71206728857942,0,DFT-D3
Mid,0.5,DFT-D3,3.55,-17.777782782388385,0,DFT-D3
Mid,0.5,DFT-D3,3.56,-17.831695338129066,0,DFT-D3
Mid,0.5,DFT-D3,3.57,-17.87465531154885,0,DFT-D3
Mid,0.5,DFT-D3,3.58,-17.9075810869399,0,DFT-D3
Mid,0.5,DFT-D3,3.59,-17.930574706901098,0,DFT-D3
Mid,0.5,DFT-D3,3.6,-17.943159972288413,0,DFT-D3
Mid,0.5,DFT-D3,3.61,-17.945234840357443,0,DFT-D3
Mid,0.5,DFT-D3,3.62,-17.94193545996677,0,DFT-D3
Mid,0.5,DFT-D3,3.63,-17.943159972288413,0,DFT-D3
Mid,0.5,DFT-D3,3.64,-17.94370419997722,0,DFT-D3
Mid,0.5,DFT-D3,3.65,-17.948262106918264,0,DFT-D3
Mid,0.5,DFT-D3,3.66,-17.953738398035057,0,DFT-D3
Mid,0.5,DFT-D3,3.67,-17.951493458793266,0,DFT-D3
Mid,0.5,DFT-D3,3.68,-17.939860591868637,0,DFT-D3
